h1,h2,h3,h4,h5
-5.240397152128946079e-01,2.388288714436890281e+00,4.465613888033240109e+00,6.705866526225383595e+00,7.356331072374294067e+00
-4.954580644290243474e-01,2.441239512674940215e+00,4.535946875364480491e+00,6.794945011598302109e+00,7.425699297463502546e+00
-4.745107932397836792e-01,2.480092082117655305e+00,4.587571056148835424e+00,6.860342498731482941e+00,7.494136890197840017e+00
-4.243263278517969139e-01,2.573325988261742747e+00,4.711511556398672695e+00,7.017397953409089340e+00,7.633889397756798978e+00
-3.448649704212630729e-01,2.721378521733959222e+00,4.908489264390131446e+00,7.267138104509536234e+00,7.848985905172413347e+00
-2.338391079578040765e-01,2.929076372137986439e+00,5.185141959339179429e+00,7.618153867105173838e+00,8.192760442508440377e+00
-7.402237367662370393e-02,3.229635200301790299e+00,5.586090253069609268e+00,8.127365309976084973e+00,8.708126695129749351e+00
1.862126271414904499e-01,3.722634950267926346e+00,6.245118005924545024e+00,8.965442869867960241e+00,9.480731622067109399e+00
5.793219391815683794e-01,4.474496463345159825e+00,7.252872697363945242e+00,1.024916079287440418e+01,1.076552585574134113e+01
1.012173199123359124e+00,5.310352626196077175e+00,8.376186902849342530e+00,1.168247876982835898e+01,1.222842035473878930e+01
1.462664548251816354e+00,6.187192977878978262e+00,9.557136333277371776e+00,1.319138897145211509e+01,1.372978747131333499e+01
