T1,T2,T3,T4,T5
3.311099122310321263e+02,3.311099122310321263e+02,3.311099122310321263e+02,3.311099122310321263e+02,3.409840143013183251e+02
3.311792827594530308e+02,3.311792827594530308e+02,3.311792827594530308e+02,3.311792827594530308e+02,3.409495979821340939e+02
3.311253326688030256e+02,3.311253326688030256e+02,3.311253326688030256e+02,3.311253326688030256e+02,3.409289415737375748e+02
3.311099122310321263e+02,3.311099122310321263e+02,3.311099122310321263e+02,3.311099122310321263e+02,3.408600510073018199e+02
3.310173323562852374e+02,3.310173323562852374e+02,3.310173323562852374e+02,3.310173323562852374e+02,3.407704106649161986e+02
3.310173323562852374e+02,3.310173323562852374e+02,3.310173323562852374e+02,3.310173323562852374e+02,3.407911051938050377e+02
3.309555578470632327e+02,3.309555578470632327e+02,3.309555578470632327e+02,3.309555578470632327e+02,3.406668632576505615e+02
3.308396126832743676e+02,3.308396126832743676e+02,3.308396126832743676e+02,3.308396126832743676e+02,3.406115869617857470e+02
3.307622302628082593e+02,3.307622302628082593e+02,3.307622302628082593e+02,3.307622302628082593e+02,3.404732406526189834e+02
3.307931914631132599e+02,3.307931914631132599e+02,3.307931914631132599e+02,3.307931914631132599e+02,3.405701064199057555e+02
3.307235133134540774e+02,3.307235133134540774e+02,3.307235133134540774e+02,3.307235133134540774e+02,3.404663174952981990e+02
3.305607143437299555e+02,3.305607143437299555e+02,3.305607143437299555e+02,3.305607143437299555e+02,3.402999944530193375e+02
3.305063804786713604e+02,3.305063804786713604e+02,3.305063804786713604e+02,3.305063804786713604e+02,3.403138669861491508e+02
3.305374325427030726e+02,3.305374325427030726e+02,3.305374325427030726e+02,3.305374325427030726e+02,3.404039840072713332e+02
3.303976111812079921e+02,3.303976111812079921e+02,3.303976111812079921e+02,3.303976111812079921e+02,3.401819876022078688e+02
3.303198357595269385e+02,3.303198357595269385e+02,3.303198357595269385e+02,3.303198357595269385e+02,3.401472489109045796e+02
3.301562814459927608e+02,3.301562814459927608e+02,3.301562814459927608e+02,3.301562814459927608e+02,3.399524529527707841e+02
3.299533600747305400e+02,3.299533600747305400e+02,3.299533600747305400e+02,3.299533600747305400e+02,3.397921119456354972e+02
3.300002299766331362e+02,3.300002299766331362e+02,3.300002299766331362e+02,3.300002299766331362e+02,3.398409429618940862e+02
3.297734585665245959e+02,3.297734585665245959e+02,3.297734585665245959e+02,3.297734585665245959e+02,3.395755272937601603e+02
3.294911269144085963e+02,3.294911269144085963e+02,3.294911269144085963e+02,3.294911269144085963e+02,3.393163092117836186e+02
3.292866510622222904e+02,3.292866510622222904e+02,3.292866510622222904e+02,3.292866510622222904e+02,3.390633476724946149e+02
3.288050294727869414e+02,3.288050294727869414e+02,3.288050294727869414e+02,3.288050294727869414e+02,3.385551916473476126e+02
3.280655959113520339e+02,3.280655959113520339e+02,3.280655959113520339e+02,3.280655959113520339e+02,3.377944570386354144e+02
3.270778955071224914e+02,3.270778955071224914e+02,3.270778955071224914e+02,3.270778955071224914e+02,3.366298276122581115e+02
3.257432675949146414e+02,3.257432675949146414e+02,3.257432675949146414e+02,3.257432675949146414e+02,3.349933058037340743e+02
3.237691325030153848e+02,3.237691325030153848e+02,3.237691325030153848e+02,3.237691325030153848e+02,3.327597749841429504e+02
3.211885227269317511e+02,3.211885227269317511e+02,3.211885227269317511e+02,3.211885227269317511e+02,3.295382456738730639e+02
3.188033618569257328e+02,3.188033618569257328e+02,3.188033618569257328e+02,3.188033618569257328e+02,3.264700902402314568e+02
3.167229896082180289e+02,3.167229896082180289e+02,3.167229896082180289e+02,3.167229896082180289e+02,3.238362277799013782e+02
