#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
4.9369476e-02	1.0158269e-02
4.9902255e-02	1.0242942e-02
5.0439333e-02	1.0328115e-02
5.0980740e-02	1.0414064e-02
5.1526474e-02	1.0500704e-02
5.2076567e-02	1.0588251e-02
5.2631060e-02	1.0676849e-02
5.3189988e-02	1.0766125e-02
5.3753385e-02	1.0855903e-02
5.4321287e-02	1.0946032e-02
5.4893730e-02	1.1036680e-02
5.5470751e-02	1.1127812e-02
5.6052386e-02	1.1219701e-02
5.6638672e-02	1.1312540e-02
5.7229646e-02	1.1406112e-02
5.7825345e-02	1.1500474e-02
5.8425809e-02	1.1595717e-02
5.9031074e-02	1.1691580e-02
5.9641179e-02	1.1788164e-02
6.0256161e-02	1.1885603e-02
6.0876063e-02	1.1983693e-02
6.1500921e-02	1.2082556e-02
6.2130775e-02	1.2182275e-02
6.2765666e-02	1.2282688e-02
6.3405633e-02	1.2383983e-02
6.4050717e-02	1.2485965e-02
6.4700961e-02	1.2588846e-02
6.5356404e-02	1.2692415e-02
6.6017087e-02	1.2796916e-02
6.6683054e-02	1.2902125e-02
6.7354345e-02	1.3008258e-02
6.8031004e-02	1.3115133e-02
6.8713074e-02	1.3222955e-02
6.9400598e-02	1.3331501e-02
7.0093619e-02	1.3441016e-02
7.0792182e-02	1.3551280e-02
7.1496331e-02	1.3662401e-02
7.2206109e-02	1.3774500e-02
7.2921564e-02	1.3887371e-02
7.3642740e-02	1.4001229e-02
7.4369681e-02	1.4115879e-02
7.5102435e-02	1.4231424e-02
7.5841048e-02	1.4347964e-02
7.6585568e-02	1.4465334e-02
7.7336041e-02	1.4583712e-02
7.8092514e-02	1.4702909e-02
7.8855035e-02	1.4823161e-02
7.9623653e-02	1.4944246e-02
8.0398418e-02	1.5066273e-02
8.1179377e-02	1.5189246e-02
8.1966581e-02	1.5313313e-02
8.2760078e-02	1.5438236e-02
8.3559921e-02	1.5564113e-02
8.4366160e-02	1.5691109e-02
8.5178844e-02	1.5818985e-02
8.5998027e-02	1.5947846e-02
8.6823761e-02	1.6077837e-02
8.7656093e-02	1.6208739e-02
8.8495083e-02	1.6340771e-02
8.9340781e-02	1.6473717e-02
9.0193240e-02	1.6607693e-02
9.1052518e-02	1.6742849e-02
9.1918666e-02	1.6878945e-02
9.2791735e-02	1.7016097e-02
9.3671788e-02	1.7154449e-02
9.4558877e-02	1.7293766e-02
9.5453058e-02	1.7434170e-02
9.6354391e-02	1.7575677e-02
9.7262929e-02	1.7718413e-02
9.8178729e-02	1.7862133e-02
9.9101853e-02	1.8006971e-02
1.0003236e-01	1.8153065e-02
1.0097030e-01	1.8300184e-02
1.0191575e-01	1.8448450e-02
1.0286875e-01	1.8598014e-02
1.0382937e-01	1.8748670e-02
1.0479768e-01	1.8900462e-02
1.0577372e-01	1.9053440e-02
1.0675757e-01	1.9207613e-02
1.0774929e-01	1.9362999e-02
1.0874893e-01	1.9519720e-02
1.0975655e-01	1.9677543e-02
1.1077230e-01	1.9836426e-02
1.1179591e-01	1.9996810e-02
1.1282849e-01	2.0157800e-02
1.1376757e-01	2.0305489e-02
1.1470952e-01	2.0452572e-02
1.1565297e-01	2.0600324e-02
1.1659845e-01	2.0748212e-02
1.1754570e-01	2.0896432e-02
1.1849486e-01	2.1044972e-02
1.1944598e-01	2.1193720e-02
1.2039898e-01	2.1342558e-02
1.2135388e-01	2.1491643e-02
1.2231069e-01	2.1640865e-02
1.2326941e-01	2.1790204e-02
1.2423004e-01	2.1939745e-02
1.2519259e-01	2.2089616e-02
1.2615706e-01	2.2239961e-02
1.2712346e-01	2.2390721e-02
1.2809177e-01	2.2542145e-02
1.2906203e-01	2.2694087e-02
1.3003423e-01	2.2846446e-02
1.3100836e-01	2.2999105e-02
1.3198444e-01	2.3151851e-02
1.3296246e-01	2.3304813e-02
1.3394244e-01	2.3457846e-02
1.3492437e-01	2.3611036e-02
1.3590826e-01	2.3764287e-02
1.3689412e-01	2.3917864e-02
1.3788194e-01	2.4071754e-02
1.3887173e-01	2.4225851e-02
1.3986351e-01	2.4380392e-02
1.4085725e-01	2.4535290e-02
1.4185299e-01	2.4690411e-02
1.4285071e-01	2.4845930e-02
1.4385042e-01	2.5001654e-02
1.4485213e-01	2.5157729e-02
1.4585583e-01	2.5314079e-02
1.4686154e-01	2.5470598e-02
1.4786926e-01	2.5627442e-02
1.4887898e-01	2.5784476e-02
1.4989073e-01	2.5941842e-02
1.5090449e-01	2.6099399e-02
1.5192028e-01	2.6257284e-02
1.5293809e-01	2.6415375e-02
1.5395793e-01	2.6573782e-02
1.5497981e-01	2.6732350e-02
1.5600373e-01	2.6891295e-02
1.5702970e-01	2.7050477e-02
1.5805770e-01	2.7209997e-02
1.5908776e-01	2.7369772e-02
1.6011988e-01	2.7529891e-02
1.6115406e-01	2.7690288e-02
1.6219031e-01	2.7851038e-02
1.6322861e-01	2.8012080e-02
1.6426900e-01	2.8173449e-02
1.6531146e-01	2.8335196e-02
1.6635600e-01	2.8497261e-02
1.6740262e-01	2.8659694e-02
1.6845133e-01	2.8822461e-02
1.6950214e-01	2.8985575e-02
1.7055505e-01	2.9149065e-02
1.7161005e-01	2.9312894e-02
1.7266716e-01	2.9477097e-02
1.7372638e-01	2.9641640e-02
1.7478772e-01	2.9806527e-02
1.7585117e-01	2.9971764e-02
1.7691675e-01	3.0137346e-02
1.7798445e-01	3.0303281e-02
1.7905428e-01	3.0469548e-02
1.8012625e-01	3.0636143e-02
1.8120036e-01	3.0803063e-02
1.8227662e-01	3.0970306e-02
1.8335501e-01	3.1137864e-02
1.8443557e-01	3.1305727e-02
1.8551828e-01	3.1473905e-02
1.8660315e-01	3.1642395e-02
1.8769019e-01	3.1811190e-02
1.8877939e-01	3.1980258e-02
1.8987077e-01	3.2149639e-02
1.9096433e-01	3.2319320e-02
1.9206007e-01	3.2489290e-02
1.9315800e-01	3.2659499e-02
1.9425812e-01	3.2830025e-02
1.9536043e-01	3.3000844e-02
1.9646495e-01	3.3171901e-02
1.9757167e-01	3.3343272e-02
1.9868059e-01	3.3514943e-02
